17:26:39 VN | waiting | 12 live league games: ? vs ?; Сухарики vs Карасики; Рандом-3 vs Стремящиеся; Lunar Vibes vs Wiser Warriors; ? vs ?; ? vs ?; ? vs EternaLight; Team  Cheyzer vs Team Crystilinesis
17:27:46 VN | waiting | 11 live league games: ? vs ? [league 19982, ids None/None]; Рандом-3 vs Стремящиеся [league 20035, ids 10218899/10218892]; Сухарики vs Карасики [league 20035, ids 9151400/9705595]; Lunar Vibes vs Wiser Warriors [league 18959, ids 9768002/8629315]; ? vs ? [league 17599, ids None/None]; ? vs EternaLight [league 17599, ids None/8208517]
17:29:48 VN | waiting | 12 live league games: ? vs ? [league 19982, ids None/None]; Рандом-3 vs Стремящиеся [league 20035, ids 10218899/10218892]; Сухарики vs Карасики [league 20035, ids 9151400/9705595]; Lunar Vibes vs Wiser Warriors [league 18959, ids 9768002/8629315]; ? vs ? [league 17599, ids None/None]; ? vs K-423 [league 17599, ids None/10225336]
17:54:41 VN | DRAFT STARTED | TEAM VISION (radiant) vs Team Spirit (dire) | match 8960882635
17:54:41 VN | TEAM VISION BAN  Treant Protector | match 8960882635
17:54:41 VN | TEAM VISION BAN  Dark Willow | match 8960882635
17:54:41 VN | TEAM VISION BAN  Lone Druid | match 8960882635
17:54:41 VN | TEAM VISION BAN  Earth Spirit | match 8960882635
17:54:41 VN | TEAM VISION PICK Keeper of the Light | match 8960882635
17:54:41 VN | Team Spirit BAN  Bounty Hunter | match 8960882635
17:54:41 VN | Team Spirit BAN  Nature's Prophet | match 8960882635
17:54:41 VN | Team Spirit BAN  Shadow Fiend | match 8960882635
17:54:41 VN | Team Spirit PICK Winter Wyvern | match 8960882635
17:55:06 VN | Team Spirit BAN  Ember Spirit | match 8960882635
17:55:22 VN | Team Spirit BAN  Timbersaw | match 8960882635
17:55:54 VN | TEAM VISION BAN  Terrorblade | match 8960882635
17:55:54 VN | TEAM VISION PICK Doom | match 8960882635
17:56:57 VN | Team Spirit PICK Centaur Warrunner | match 8960882635
17:57:29 VN | Team Spirit PICK Clockwerk | match 8960882635
17:58:00 VN | TEAM VISION PICK Lifestealer | match 8960882635
17:58:17 VN | TEAM VISION PICK Mirana | match 8960882635
17:59:06 VN | Team Spirit PICK Templar Assassin | match 8960882635
17:59:37 VN | Team Spirit BAN  Snapfire | match 8960882635
18:00:40 VN | TEAM VISION BAN  Slardar | match 8960882635
18:01:29 VN | Team Spirit BAN  Puck | match 8960882635
18:02:16 VN | TEAM VISION BAN  Invoker | match 8960882635
18:02:47 VN | Team Spirit PICK Storm Spirit | match 8960882635
18:03:52 VN | TEAM VISION PICK Sand King | match 8960882635
18:07:27 VN | GAME STARTED (draft complete) | match 8960882635
18:52:29 VN | waiting | 11 live league games: ? vs ? [league 19950, ids None/None]; Shinigami Gaming vs Teiko [league 18867, ids 9710058/10196759]; Team R3mem8er vs Team Kishi Kaisei終 [league 19924, ids 10186594/10186610]; ? vs ? [league 17599, ids None/None]; ? vs ? [league 17599, ids None/None]; ? vs ? [league 12572, ids None/None]
